date,station,depth_m,temp_c,sal_psu,density_kg_per_m3,par,fluor_mg_per_m3,turbidity_ntu,O2_umol_per_kg,O2_pct_sat,ph
20240905,S4,85.499,7.7264,32.4765,25.3327,4.49E-05,0.0929,1.3399,191.99,65.292,8.099
20240905,S4,85.652,7.748,32.4732,25.3271,4.49E-05,0.1039,1.3747,191.442,65.136,8.098
20240905,S4,85.859,7.7702,32.4763,25.3264,4.49E-05,0.1085,1.3863,191.034,65.031,8.096
20240905,S4,86.144,7.7909,32.4842,25.3297,4.49E-05,0.1076,1.4153,190.684,64.946,8.095
20240905,S4,86.37,7.7934,32.4919,25.3354,4.49E-05,0.1076,1.4327,190.401,64.857,8.095
20240905,S4,86.452,7.7879,32.4927,25.3368,4.49E-05,0.1085,1.4327,190.077,64.739,8.096
20240905,S4,86.515,7.7872,32.4918,25.3362,4.49E-05,0.1094,1.4327,189.771,64.633,8.096
20240905,S4,86.634,7.7933,32.4912,25.3348,4.49E-05,0.1039,1.3805,189.463,64.537,8.096
20240905,S4,86.79,7.8034,32.4938,25.3354,4.49E-05,0.0948,1.2935,189.342,64.512,8.096
20240905,S4,86.991,7.8092,32.4973,25.3374,4.49E-05,0.0984,1.337,189.303,64.508,8.096
20240905,S4,87.271,7.7949,32.5052,25.3456,4.49E-05,0.1094,1.4819,189.42,64.531,8.097
20240905,S4,87.565,7.7393,32.5117,25.3586,4.49E-05,0.1094,1.5022,189.749,64.565,8.098
20240905,S4,87.791,7.6956,32.4966,25.3529,4.49E-05,0.1103,1.6704,189.855,64.53,8.099
20240905,S4,87.971,7.6793,32.4945,25.3536,4.49E-05,0.1094,1.6704,189.818,64.493,8.099
20240905,S4,88.142,7.6623,32.4889,25.3516,4.49E-05,0.1085,1.5312,189.774,64.451,8.098
20240905,S4,88.279,7.6547,32.4893,25.3529,4.49E-05,0.1085,1.5283,189.674,64.406,8.097
20240905,S4,88.403,7.6459,32.4871,25.3524,4.49E-05,0.0948,1.4037,189.638,64.38,8.096
20240905,S4,88.606,7.6396,32.4851,25.3518,4.49E-05,0.0939,1.3863,189.477,64.315,8.095
20240905,S4,88.879,7.6338,32.4852,25.3527,4.49E-05,0.1048,1.4906,189.198,64.212,8.094
20240905,S4,89.083,7.628,32.4851,25.3534,4.49E-05,0.1085,1.5283,188.828,64.078,8.093
20240905,S4,89.177,7.6261,32.4852,25.3537,4.49E-05,0.1076,1.5573,188.34,63.91,8.093
20240905,S4,89.247,7.6245,32.4856,25.3543,4.49E-05,0.1076,1.5747,187.887,63.754,8.092
20240905,S4,89.399,7.6271,32.4856,25.3539,4.49E-05,0.1076,1.5051,187.579,63.653,8.092
20240905,S4,89.677,7.6383,32.4901,25.3559,4.49E-05,0.1085,1.4356,187.299,63.576,8.092
20240905,S4,89.945,7.6355,32.4978,25.3623,4.49E-05,0.103,1.5747,187.134,63.52,8.091
20240905,S4,90.081,7.6339,32.4973,25.3621,4.49E-05,0.092,1.8096,187.083,63.5,8.092
